Sensor_Value,"Tolerance_Value
",Output
0.7,0.01,pH
2,0.01,pH
10,0.01,pH
7,0.01,pH
7.5,0.01,pH
6.5,0.01,pH
4,0.01,pH
5.5,0.01,pH
11,0.01,pH
8,0.01,pH
6,0.01,pH
6.5,0.01,pH
9.5,0.01,pH
7.5,0.01,pH
3.5,0.01,pH
4,0.01,pH
2,0.01,pH
0,0.01,pH
15,2,dht
22,2,dht
25,2,dht
38,2,dht
44,2,dht
26,2,dht
27,2,dht
12,2,dht
22,2,dht
28,2,dht
33,2,dht
34,2,dht
44,2,dht
40,2,dht
18,2,dht
11,2,dht
32,2,dht
24,2,dht
45,2,dht
50,2,dht
0,2,dht
37,2,dht
33,2,dht
22,2,dht
11,2,dht
1,2,dht
2,3,ultrasonic
55,3,ultrasonic
25,3,ultrasonic
66,3,ultrasonic
44,3,ultrasonic
58,3,ultrasonic
69,3,ultrasonic
70,3,ultrasonic
45,3,ultrasonic
47,3,ultrasonic
75,3,ultrasonic
80,3,ultrasonic
58,3,ultrasonic
64,3,ultrasonic
62,3,ultrasonic
12,3,ultrasonic
27,3,ultrasonic
29,3,ultrasonic
38,3,ultrasonic
35,3,ultrasonic
3,3,ultrasonic
15,3,ultrasonic
17,3,ultrasonic
19,3,ultrasonic
52,3,ultrasonic
51,3,ultrasonic
49,3,ultrasonic
39,3,ultrasonic
59,3,ultrasonic
69,3,ultrasonic
77,3,ultrasonic
